[00:24:50.398] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:54.989] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:24:58.589] INFO  workflow.execution — null
[00:24:58.589] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:24:58.605] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/WinFormClient.png
[00:24:58.605] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:25:03.784] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:25:08.632] INFO  workflow.execution — null
[00:25:08.634] INFO  workflow.execution — sftpread: Connecting to test.rebex.net:22
[00:25:08.634] INFO  workflow.execution — sftpread: Reading /pub/example//pub/example/WinFormClientSmall.png
[00:25:08.636] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:25:13.451] INFO  remote.SftpOperations — Known host file not configured, using user known host file: C:\Users\Admin/.ssh/known_hosts
[00:25:17.152] INFO  workflow.execution — null
[00:25:17.157] INFO  controller.WorkflowController — Workflow 'New Workflow' run completed successfully in 139886ms
